stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
971,STAKATWF,STAGE@KATE BOND,US HWY 64 & KATE BOND RD,35.204797,-89.803084,,,,,,0
972,STAAPPWF,STAGE@APPLING,US HWY 64 & APPLING RD,35.204837,-89.809099,,,,,,0
973,STABROWN,STAGE@BROTHER,STAGE RD & BROTHER BLVD,35.204867,-89.814504,,,,,,0
974,STACHRWF,STAGE@CHRISTOVAL,STATE HWY 15 & CHRISTOVAL ST,35.204743,-89.828041,,,,,,0
975,STASUMWN,STAGE@SUMMER,,35.205372,-89.832995,,,,,,0
976,STASUMWF,STAGE RD@SUMMER AVE,STAGE RD & STATE HWY 15,35.205643,-89.835404,,,,,,0
977,STAKIRWM,STAGE@KIRBY WHITTEN,STAGE RD & KIRBY WHITTEN RD,35.20516,-89.839903,,,,,,0
978,STAKI1WM,STAGE@KIRBY WHITTEN,STATE HWY 15 & STAGE RD,35.204905,-89.841997,,,,,,0
979,STACHAWN,STAGE@CHARLES BRYAN,STATE HWY 15,35.204777,-89.844966,,,,,,0
980,STASTAWM,STAGE@STAGE VILLAGE,STAGE RD & STAGE VILLAGE CV,35.204769,-89.854825,,,,,,0
981,STABARWM,STAGE@BARTLETT BLVD,STATE HWY 15 & STAGE RD,35.204816,-89.861592,,,,,,0
982,STABARWF,STAGE@BARTLETT BLVD,STATE HWY 15 & STAGE RD,35.204583,-89.866013,,,,,,0
983,STACOUWM,STAGE@COURT,STATE HWY 15 & COURT ST,35.204241,-89.869891,,,,,,0
984,STASHEWF,STAGE@SHELBY,STATE HWY 15 & SHELBY ST,35.204758,-89.874608,,,,,,0
985,STAOLDWF,STAGE@OLD BROWNSVILLE,STATE HWY 15 & OLD BROWNSVILLE RD,35.205306,-89.881408,,,,,,0
987,STASPRWF,STAGE@SPRINGLAND,STATE HWY 15 & SPRINGLAND ST,35.205812,-89.885317,,,,,,0
988,STALYNWN,STAGE@LYNCHBURG,,35.206388,-89.888051,,,,,,0
989,STACLEWN,STAGE@CLEARWOOD,RALEIGH BARTLETT RD & CLEARWOOD RD,35.206967,-89.892547,,,,,,0
990,STACOVWN,STAGE@COVINGTON PIKE,STATE HWY 15 & RALEIGH BARTLETT RD,35.207086,-89.894275,,,,,,0
991,STACOVWF,STAGE@COVINGTON PIKE,5046 STAGE ROAD & STAGE RD,35.207141,-89.895316,,,,,,0
992,STACREWM,STAGE@CREEK VIEW DR,RALEIGH BARTLETT RD & STAGE RD,35.207228,-89.899525,,,,,,0
993,STAKENWF,STAGE@KENNETH,STATE HWY 15 & STAGE RD,35.207147,-89.905806,,,,,,0
994,STAROBWN,STAGE@ROBBIEDON,STATE HWY 15 & ROBBIEDON ST,35.206864,-89.908,,,,,,0
995,STAFARWN,STAGE@FARGO,STATE HWY 15 & FARGO RD,35.206519,-89.910239,,,,,,0
996,STASCHWN,STAGE@SCHEIBLER,STATE HWY 15 & RALEIGH BARTLETT RD,35.206262,-89.912167,,,,,,0
997,STACOLWN,STAGE@COLEMAN,RALEIGH BARTLETT RD & COLEMAN RD,35.206041,-89.913795,,,,,,0
998,STATENWF,STAGE@TENA,STATE HWY 15 & STAGE RD,35.205811,-89.915668,,,,,,0
999,STAAUSWM,STAGE@AUSTIN PEAY,STATE HWY 15 & EAST RD,35.20538,-89.920709,,,,,,0
1000,STAEASEN,STAGE@EAST,STATE HWY 15 & EAST ST,35.205066,-89.920255,,,,,,0
1001,STAHAMEF,STAGE@HAMMOND,RALEIGH BARTLETT RD & BEVERLY HILLS RD,35.205268,-89.917463,,,,,,0
1002,STABEVEN,STAGE@BEVERLY HILLS,STATE HWY 15 & BEVERLY HILLS RD,35.20541,-89.916267,,,,,,0
1003,STACOLEN,STAGE@COLEMAN,STATE HWY 15 & COLEMAN RD,35.205648,-89.914106,,,,,,0
1004,STAFAREN,STAGE@FARGO,STATE HWY 15 & FARGO RD,35.206091,-89.910838,,,,,,0
1005,STAKENEN,STAGE@KENNETH,RALEIGH BARTLETT RD & KENNETH ST,35.206887,-89.905231,,,,,,0
1006,STACREEM,STAGE@CREEK VIEW,4829 STATE HWY 15 & CREEK VIEW DR,35.206954,-89.902074,,,,,,0
1007,STACREEF,STAGE@CREEK VIEW CIR,STATE HWY 15 & CONNECTING RD,35.206915,-89.899482,,,,,,0
1008,STACOVEM,STAGE@COVINGTON PIKE,STATE HWY 15 & STAGE RD,35.20684,-89.897078,,,,,,0
1009,STACOVEN,STAGE RD@COVINGTON PIKE,5065 STAGE & COVINGTON PIKE,35.206834,-89.895133,,,,,,0
1010,STACLEEN,STAGE@CLEARWOOD,STATE HWY 15 & CLEARWOOD RD,35.206664,-89.892847,,,,,,0
1011,STALYNEN,STAGE@LYNCHBURG,STATE HWY 15 & LYNCHBURG ST,35.206255,-89.888572,,,,,,0
1012,STASPREN,STAGE@SPRINGLAND,RALEIGH BARTLETT RD & SPRINGLAND ST,35.205509,-89.885484,,,,,,0
1013,STAOLDEN,STAGE@OLD BROWNSVILLE,STATE HWY 15 & OLD BROWNSVILLE RD,35.204966,-89.881287,,,,,,0
1014,STABAREF,STAGE@BARTLETT,STATE HWY 15 & STAGE RD,35.204655,-89.86136,,,,,,0
1015,STASHEEM,STAGE@SHELBY,STATE HWY 15 & SHELBY ST,35.204571,-89.874553,,,,,,0
1016,STASHEEF,STAGE@SHELBY,STATE HWY 15 & STAGE RD,35.204166,-89.872915,,,,,,0
1017,STACOUEN,STAGE@COURT,STATE HWY 15 & STAGE RD,35.204119,-89.871464,,,,,,0
1018,STACOUEF,STAGE@COURT,STATE HWY 15 & COURT ST,35.20408,-89.869935,,,,,,0
1019,STABAREN,STAGE@BARTLETT BLVD,STAGE RD & STATE HWY 15,35.204616,-89.864584,,,,,,0
1020,STAELMEN,STAGE@ELMORE PARK,STAGE RD & BARTLETT CREST DR,35.204506,-89.857639,,,,,,0
1021,STASTAEF,STAGE@STAGE VILLAGE,STATE HWY 15 & STAGE VILLAGE CV,35.204617,-89.854747,,,,,,0
1024,STAKIREN,STAGE@KIRBY WHITTEN,STAGE RD & KIRBY WHITTEN RD,35.204697,-89.840779,,,,,,0
1025,STAWHIEM,STAGE@WHITTEN,STAGE RD & STATE HWY 15,35.205237,-89.837798,,,,,,0
1027,STASUMEF,STAGE RD@SUMMER AVE,STATE HWY 15 & STAGE RD,35.205184,-89.83381,,,,,,0
1028,STAVANEN,STAGE@VAN DER VEER,STAGE RD & VAN DER VEER DR,35.204603,-89.829315,,,,,,0
1029,STADROEM,STAGE@DROMEDARY,STATE HWY 15 & STAGE RD,35.203741,-89.823104,,,,,,0
1031,STAAPPEN,STAGE@APPLING,US HWY 64 & STAGE RD,35.204511,-89.815081,,,,,,0
1032,STAAPPEM,STAGE@APPLING WAY,US HWY 64,35.204569,-89.813054,,,,,,0
1033,STAAPPEF,STAGE@APPLING WAY,US HWY 64 & APPLING RD,35.2045,-89.810053,,,,,,0
1034,STAKATEF,STAGE@KATE BOND,US HWY 64 & KATE BOND RD,35.204463,-89.801479,,,,,,0
1035,STAWOLEM,STAGE@WOLFCREEK PKWY,STAGE RD & STATE HWY 15,35.204459,-89.799729,,,,,,0
1036,STAWOLEF,STAGE RD@WOLFCREEK PKY,US HWY 64 & WOLFCREEK PKWY,35.204501,-89.795043,,,,,,0
1037,STAGEREF,STAGE@GERMANTOWN PKWY,? US HWY 64 & N GERMANTOWN PKWY,35.204301,-89.789616,,,,,,0
1039,STAMALEN,STAGE@MALL DR,US HWY 64 & UNNAMED ST,35.204219,-89.785164,,,,,,0
1040,STAWALEN,STAGE@WALMART DR,US HWY 64 & STAGE RD,35.204132,-89.782605,,,,,,0
1041,STANEWEM,STAGE@NEW BRUNSWICK,STAGE RD & CONNECTING RD,35.204134,-89.77977,,,,,,0
1042,STAROCEF,STAGE@ROCKCREEK PKWY,STATE HWY 15 & ROCKCREEK PKWY,35.204378,-89.762999,,,,,,0
1070,COLSTASF,COLEMAN@STAGE,COLEMAN RD & STAGE RD,35.204852,-89.913698,,,,,,0
1071,COLSTOSF,COLEMAN@STONE GATE DR,COLEMAN RD & STAGE RD,35.201295,-89.912919,,,,,,0
1072,RALPARSM,RALEIGH LAGRANGE@PARKVIEW,RALEIGH LAGRANGE RD & STAGE RD,35.199504,-89.910541,,,,,,0
1073,RALPARSN,RALEIGH LAGRANGE@PARKVIEW,RALEIGH LAGRANGE RD & PARKVIEW DR,35.198519,-89.908505,,,,,,0
1074,RALHOOSF,RALEIGH LAGRANGE@HOOVER,RALEIGH LAGRANGE RD & PARKVIEW DR,35.197771,-89.904276,,,,,,0
1075,RALDEVSF,RALEIGH LAGRANGE@DEVEREUX,RALEIGH LAGRANGE RD & PARKVIEW DR,35.195945,-89.901876,,,,,,0
1076,RALBATSN,RALEIGH LAGRANGE@BATTLE CREEK,RALEIGH LAGRANGE RD & BATTLE CREEK DR,35.195138,-89.900006,,,,,,0
1078,COVCHISM,COVINGTON PIKE@CHISWOOD,COVINGTON PIKE & CONNECTING RD,35.191816,-89.895982,,,,,,0
1079,COVELMSF,COVINGTON PIKE@ELMORE,COVINGTON PIKE & STATE HWY 204,35.185285,-89.896462,,,,,,0
1080,COVCOVSF,COVINGTON PIKE@COVINGTON WAY,STATE HWY 204 & COVINGTON WAY,35.182237,-89.896514,,,,,,0
1081,COVPLESM,COVINGTON PIKE@PLEASANT VIEW RD,STATE HWY 204 & COVINGTON PIKE,35.180084,-89.896574,,,,,,0
1082,COVPL1SM,SHELBY OAKS@SYCAMORE VIEW,STATE HWY 204 & COVINGTON PIKE,35.176867,-89.896802,,,,,,0
1084,MACBERWN,MACON@BERCLAIR,MACON RD & BERCLAIR RD,35.161999,-89.910874,,,,,,0
1085,MACPALWN,MACON@PALLWOOD,MACON RD & PALLWOOD RD,35.162001,-89.912623,,,,,,0
1086,MACWEIWN,MACON@WEINER,MACON RD & WEINER RD,35.162058,-89.915136,,,,,,0
1087,WARMACSF,WARING RD@MACON RD,WARING RD & EMILY AVE,35.161471,-89.917484,,,,,,0
1088,WARFERSN,WARING@FERNDALE,WARING RD & FERNDALE RD,35.158734,-89.915707,,,,,,0
1089,WAROWESN,WARING@OWEN,WARING RD & OWEN RD,35.155955,-89.915779,,,,,,0
1090,WARPOWSM,WARING@POWELL,WARING RD & POWELL AVE,35.154588,-89.915837,,,,,,0
1091,WARSUMSN,WARING RD@SUMMER AVE,? WARING RD & POWELL AVE,35.149253,-89.916125,,,,,,0
1092,WARSUMSF,WARING@SUMMER,WARING RD & STANLEY DR,35.148118,-89.916171,,,,,,0
1093,WARESTSN,WARING@ESTRIDGE,WARING RD & SAM COOPER BLVD,35.145437,-89.916232,,,,,,0
1094,WARSEQSF,WARING@SEQUOIA,WARING RD & SEQUOIA RD,35.141353,-89.916251,,,,,,0
1095,WARCHISN,WARING@CHICKASAW,WARING RD & CHICKASAW RD,35.139754,-89.916321,,,,,,0
1096,WARWALSM,WARING@WALNUT GROVE,WARING RD & STATE HWY 23,35.131702,-89.916624,,,,,,0
1097,WARWALNF,WARING@WALNUT GROVE,WARING RD & STATE HWY 23,35.131568,-89.916437,,,,,,0
1098,WARNORNN,WARING@NORMANDY,WARING RD & NORMANDY AVE,35.134231,-89.916299,,,,,,0
1099,WARBARNN,WARING@BARFIELD,WARING RD & BARFIELD RD,35.135553,-89.916263,,,,,,0
1100,WARCHINN,WARING@CHICKASAW,WARING RD & CHICKASAW RD,35.139503,-89.916133,,,,,,0
1101,WARSEQNN,WARING@SEQUOIA,WARING RD & SEQUOIA RD,35.141746,-89.91604,,,,,,0
1102,WARPRINM,WARING@PRINCETON,WARING RD & SEQUOIA RD,35.143435,-89.915981,,,,,,0
1103,WARSTANM,WARING@STANLEY,WARING RD & W FOY CIR,35.146635,-89.915997,,,,,,0
1105,WARTUTNM,WARING@TUTWILER,WARING RD & W FOY CIR,35.149878,-89.915869,,,,,,0
1106,WARCASNN,WARING@CASTLE,WARING RD & CASTLE AVE,35.152264,-89.91572,,,,,,0
1107,WARPOWNN,WARING@POWELL,WARING RD & POWELL AVE,35.154043,-89.915661,,,,,,0
1108,WAROWENN,WARING@OWEN,WARING RD & OWEN RD,35.155428,-89.915603,,,,,,0
1109,WARGIVNN,WARING@GIVEN,WARING RD & GIVEN AVE,35.156813,-89.915567,,,,,,0
1110,WARFERNN,WARING@FERNDALE,WARING RD & FERNDALE RD,35.158484,-89.915508,,,,,,0
1111,WARMACNN,WARING RD@MACON RD,,35.161909,-89.917284,,,,,,0
1112,MACWEIEN,MACON@WEINER,MACON RD & WARING RD,35.161925,-89.916044,,,,,,0
1113,MACLOREN,MACON@LORRAINE,MACON RD & LORRAINE ST,35.161888,-89.914616,,,,,,0
1114,MACPALEF,MACON@PALLWOOD,MACON RD & PALLWOOD RD,35.161841,-89.913055,,,,,,0
1115,MACBEREN,MACON@BERCLAIR,MACON RD & PALLWOOD RD,35.161839,-89.911439,,,,,,0
1116,MACBEREF,MACON@BERCLAIR,MACON RD & BERCLAIR RD,35.161819,-89.909822,,,,,,0
1117,MCCSTREN,MCCRORY@STRATFORD,MCCRORY AVE & MACON RD,35.160839,-89.906071,,,,,,0
1119,COVPLENF,COVINGTON PIKE@PLEASANT VIEW RD,COVINGTON PIKE & STATE HWY 204,35.176724,-89.896626,,,,,,0
