stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,corner_placement,stop_position,on_street,at_street,heading
3831,3831,11700 Research/Duval,011700 Research & Duval,30.41999,-97.747572,,https://www.capmetro.org/stopdetail/index.php?stop=3831,0,,,0,NW,N,Research,Duval,170
3832,3832,11590 Research/Thunder Creek,011590 Research & Thunder Creek,30.41492,-97.746612,,https://www.capmetro.org/stopdetail/index.php?stop=3832,0,,,0,SW,M,Research,Thunder Creek,170
3833,3833,11100 Research/Balcones Woods,011100 Research & Balcones Woods,30.406858,-97.745727,,https://www.capmetro.org/stopdetail/index.php?stop=3833,0,,,0,SW,M,Research,Balcones Woods,184
3834,3834,Braker/Research NW Corner,004700 Braker & Research,30.400813,-97.74724,,https://www.capmetro.org/stopdetail/index.php?stop=3834,0,,,0,NW,M,Braker,Research,273
3837,3837,10051 Great Hills/Research (Target),010051 Great Hills & Research,30.393337,-97.743545,,https://www.capmetro.org/stopdetail/index.php?stop=3837,0,,,0,SE,M,Great Hills,Research,114
3838,3838,10001 Capital of Texas/Stonelake,010001 Capital of Texas & Stonelake,30.390475,-97.738894,,https://www.capmetro.org/stopdetail/index.php?stop=3838,0,,,0,SE,F,Capital of Texas,Stonelake,94
3839,3839,Research/Ohlen,008600 Research & Ohlen,30.364075,-97.718149,,https://www.capmetro.org/stopdetail/index.php?stop=3839,0,,,0,NW,N,Research,Ohlen,167
3840,3840,8500 Research/Fairfield,008500 Research & Fairfield,30.359635,-97.716748,,https://www.capmetro.org/stopdetail/index.php?stop=3840,0,,,0,SW,M,Research,Fairfield,165
3843,3843,924 41st/IH 35,000924 41St & IH 35,30.298908,-97.720539,,https://www.capmetro.org/stopdetail/index.php?stop=3843,0,,,0,NW,M,41St,IH 35,298
3846,3846,Riverside/Congress FS,000118 Riverside & Congress,30.256196,-97.746021,,https://www.capmetro.org/stopdetail/index.php?stop=3846,0,,,0,SE,F,Riverside,Congress,138
3847,3847,205 Riverside/Congress,000205 Riverside & Congress,30.254846,-97.744793,,https://www.capmetro.org/stopdetail/index.php?stop=3847,0,,,0,SE,M,Riverside,Congress,141
3852,3852,Melrose Place Apt,001300 Crossing Place & Elmont,30.237369,-97.7135,,https://www.capmetro.org/stopdetail/index.php?stop=3852,0,,,0,SE,F,Crossing Place,Elmont,5
3887,3887,Convict Hill/Latta/Brush Country,004600 Convict Hill & Latta,30.216888,-97.846068,,https://www.capmetro.org/stopdetail/index.php?stop=3887,0,,,0,SW,N,Convict Hill,Latta,118
3895,3895,Braker/Lamar NE Corner,000700 Braker & Lamar,30.381776,-97.685877,,https://www.capmetro.org/stopdetail/index.php?stop=3895,0,,,0,NE,N,Braker,Lamar,304
3900,3900,12001 Amhearst/Duval,012001 Amherst & Duval,30.412316,-97.721527,,https://www.capmetro.org/stopdetail/index.php?stop=3900,0,,,0,NE,F,Amherst,Duval,31
3901,3901,Salt Springs/Tara,007615 Salt Springs & Tara,30.163611,-97.742899,,https://www.capmetro.org/stopdetail/index.php?stop=3901,0,,,0,NW,N,Salt Springs,Tara,208
3924,3924,Barton Creek Mall (Sears),002500 Barton Creek Mall & Walsh Tarlton,30.256415,-97.80931,,https://www.capmetro.org/stopdetail/index.php?stop=3924,0,,,0,SW,N,Barton Creek Mall,Walsh Tarlton,67
3931,3931,Walmart Norwood,001030 Norwood Park & Clock Tower,30.339404,-97.690619,,https://www.capmetro.org/stopdetail/index.php?stop=3931,0,,,0,NE,M,Norwood Park,Clock Tower,323
3932,3932,2215 Rosewood/Chestnut,002215 Rosewood & Chestnut,30.27025,-97.71522,,https://www.capmetro.org/stopdetail/index.php?stop=3932,0,,,0,SW,N,Rosewood,Chestnut,78
3974,3974,Travis County Precinct 4,004011 Mc Kinney Falls & Cedar Edge,30.19557,-97.693747,,https://www.capmetro.org/stopdetail/index.php?stop=3974,0,,,0,NE,M,Mc Kinney Falls,Cedar Edge,43
4007,4007,Lavaca/9th,000800 Lavaca & 9Th,30.271378,-97.744115,,https://www.capmetro.org/stopdetail/index.php?stop=4007,0,,,0,SE,N,Lavaca,9Th,16
4024,4024,504 Riverside/Newning,000504 Riverside & Newning,30.253005,-97.742945,,https://www.capmetro.org/stopdetail/index.php?stop=4024,0,,,0,NE,M,Riverside,Newning,307
4026,4026,Soco Station (NB),001501 Congress & Elizabeth,30.248772,-97.749826,,https://www.capmetro.org/stopdetail/index.php?stop=4026,0,,,0,SE,N,Congress,Elizabeth,16
4029,4029,Soco Station (SB),001522 Congress & Monroe,30.248134,-97.750367,,https://www.capmetro.org/stopdetail/index.php?stop=4029,0,,,0,NW,N,Congress,Monroe,196
4039,4039,Oltorf Station (NB),002311 Congress & Oltorf,30.239554,-97.752826,,https://www.capmetro.org/stopdetail/index.php?stop=4039,0,,,0,NE,M,Congress,Oltorf,21
4040,4040,Oltorf/Congress,000100 Oltorf & Congress,30.237921,-97.752284,,https://www.capmetro.org/stopdetail/index.php?stop=4040,0,,,0,SE,M,Oltorf,Congress,125
4044,4044,121 Oltorf/Euclid (HEB),000121 Oltorf & Euclid,30.239387,-97.754655,,https://www.capmetro.org/stopdetail/index.php?stop=4044,0,,,0,SE,M,Oltorf,Euclid,124
4046,4046,Oltorf Station (SB),002412 Congress & Oltorf,30.238013,-97.754383,,https://www.capmetro.org/stopdetail/index.php?stop=4046,0,,,0,SW,M,Congress,Oltorf,217
4065,4065,1311 S 1st/Elizabeth,001311 1St & Elizabeth,30.250973,-97.754463,,https://www.capmetro.org/stopdetail/index.php?stop=4065,0,,,0,NE,M,1St,Elizabeth,19
4069,4069,Barton Springs/Lamar,001200 Barton Springs & Lamar,30.260536,-97.757392,,https://www.capmetro.org/stopdetail/index.php?stop=4069,0,,,0,SE,M,Barton Springs,Lamar,99
4070,4070,Barton Springs Station (SB),000520 Lamar & Barton Springs,30.26007,-97.758952,,https://www.capmetro.org/stopdetail/index.php?stop=4070,0,,,0,SW,M,Lamar,Barton Springs,196
4071,4071,615 Lamar/Bluff,000615 Lamar & Bluff,30.258835,-97.758983,,https://www.capmetro.org/stopdetail/index.php?stop=4071,0,,,0,NE,F,Lamar,Bluff,13
4072,4072,1901 Lamar/Mary,001901 Lamar & Mary,30.24956,-97.767001,,https://www.capmetro.org/stopdetail/index.php?stop=4072,0,,,0,NE,F,Lamar,Mary,52
4078,4078,1501 Barton Springs/Jessie,001501 Barton Springs & Jessie,30.261416,-97.76013,,https://www.capmetro.org/stopdetail/index.php?stop=4078,0,,,0,SW,N,Barton Springs,Jessie,108
4079,4079,Barton Springs (Zilker Park),002100 Barton Springs & Zilker,30.266126,-97.768413,,https://www.capmetro.org/stopdetail/index.php?stop=4079,0,,,0,NE,N,Barton Springs,Zilker,275
4080,4080,2221 Barton Springs (Zilker),002221 Barton Springs & Mopac,30.267964,-97.772453,,https://www.capmetro.org/stopdetail/index.php?stop=4080,0,,,0,SE,M,Barton Springs,Mopac,117
4081,4081,Barton Springs/Zilker,002100 Barton Springs & Zilker,30.265879,-97.767853,,https://www.capmetro.org/stopdetail/index.php?stop=4081,0,,,0,SE,F,Barton Springs,Zilker,95
4084,4084,600 Lamar/6th,000600 Lamar & 6Th,30.272037,-97.753855,,https://www.capmetro.org/stopdetail/index.php?stop=4084,0,,,0,NW,N,Lamar,6Th,203
4086,4086,5th/West Lynn,001500 5Th & West Lynn,30.273605,-97.763241,,https://www.capmetro.org/stopdetail/index.php?stop=4086,0,,,0,SE,F,5Th,West Lynn,113
4088,4088,1000 Lamar/10th,001000 Lamar & 10Th,30.275103,-97.752332,,https://www.capmetro.org/stopdetail/index.php?stop=4088,0,,,0,NW,N,Lamar,10Th,202
4089,4089,1117 Lamar/12th,001117 Lamar & 12Th,30.276741,-97.751339,,https://www.capmetro.org/stopdetail/index.php?stop=4089,0,,,0,SE,N,Lamar,12Th,21
4090,4090,1200 Lamar/12th,001200 Lamar & 12Th,30.276963,-97.751452,,https://www.capmetro.org/stopdetail/index.php?stop=4090,0,,,0,NW,N,Lamar,12Th,203
4096,4096,27th/Whitis,000300 27Th & Whitis,30.292003,-97.740219,,https://www.capmetro.org/stopdetail/index.php?stop=4096,0,,,0,NE,N,27Th,Whitis,279
4113,4113,Speedway/44th,004400 Speedway & 44Th,30.308091,-97.728681,,https://www.capmetro.org/stopdetail/index.php?stop=4113,0,,,0,NE,M,Speedway,44Th,29
4114,4114,Speedway/38th,003600 Speedway & 38Th,30.299792,-97.734149,,https://www.capmetro.org/stopdetail/index.php?stop=4114,0,,,0,SW,M,Speedway,38Th,209
4115,4115,3201 Speedway/33rd,003201 Speedway & 33Rd,30.29722,-97.735581,,https://www.capmetro.org/stopdetail/index.php?stop=4115,0,,,0,SE,N,Speedway,33Rd,27
4116,4116,31st/Grooms,000100 31St & Grooms,30.294366,-97.735868,,https://www.capmetro.org/stopdetail/index.php?stop=4116,0,,,0,SW,N,31St,Grooms,133
4117,4117,31st/Walling,000200 31St & Walling,30.294287,-97.735581,,https://www.capmetro.org/stopdetail/index.php?stop=4117,0,,,0,NW,M,31St,Walling,313
4120,4120,22nd/Pearl,000900 22Nd & Pearl,30.285285,-97.746666,,https://www.capmetro.org/stopdetail/index.php?stop=4120,0,,,0,SW,N,22Nd,Pearl,94
4121,4121,San Gabriel/25 1/2,002550 San Gabriel & 25 1/2,30.29005,-97.747693,,https://www.capmetro.org/stopdetail/index.php?stop=4121,0,,,0,NW,N,San Gabriel,25 1/2,184
4122,4122,26th/Rio Grande,000600 26Th & Rio Grande,30.290696,-97.744249,,https://www.capmetro.org/stopdetail/index.php?stop=4122,0,,,0,NE,N,26Th,Rio Grande,273
4123,4123,26th/Pearl,000800 26Th & Pearl,30.29086,-97.746437,,https://www.capmetro.org/stopdetail/index.php?stop=4123,0,,,0,NE,N,26Th,Pearl,270
4125,4125,3004 Lamar/30th Half,003004 Lamar & 30Th Half,30.299542,-97.746769,,https://www.capmetro.org/stopdetail/index.php?stop=4125,0,,,0,SW,M,Lamar,30Th Half,211
4128,4128,3913 Medical/39th Half,003913 Medical & 39Th Half,30.307742,-97.742786,,https://www.capmetro.org/stopdetail/index.php?stop=4128,0,,,0,NE,F,Medical,39Th Half,33
4129,4129,Medical/42nd,004200 Medical & 42Nd,30.311492,-97.742464,,https://www.capmetro.org/stopdetail/index.php?stop=4129,0,,,0,NE,M,Medical,42Nd,10
4133,4133,3617 Bull Creek/Jefferson,003617 Bull Creek & Jefferson,30.309849,-97.751043,,https://www.capmetro.org/stopdetail/index.php?stop=4133,0,,,0,NW,M,Bull Creek,Jefferson,329
4134,4134,1951 San Jacinto/Trinity,001951 San Jacinto & Trinity,30.280391,-97.733979,,https://www.capmetro.org/stopdetail/index.php?stop=4134,0,,,0,NE,F,San Jacinto,Trinity,63
