from_stop_id,to_stop_id,transfer_type,min_transfer_time
2975,2934,2,300
2975,2935,2,300
2976,2933,2,300
2976,3766,2,300
3012,2541,2,300
3012,2569,2,309
3012,3021,2,300
3012,4967,2,300
3014,2754,2,789
3014,4682,2,300
3014,5369,2,300
3014,5718,2,300
3016,3837,2,410
3017,5452,2,300
3017,5755,2,300
3020,4682,2,300
3020,4760,2,300
3020,4761,2,300
3021,2541,2,300
3021,2569,2,300
3021,3012,2,300
3021,4967,2,300
3021,4971,2,300
3033,3123,2,300
3033,3125,2,300
3033,3798,2,300
3033,3839,2,300
3033,4734,2,300
3036,2751,2,300
3036,5356,2,300
3036,5705,2,300
3036,5760,2,323
3041,2545,2,300
3041,2566,2,300
3041,4833,2,300
3060,3063,2,300
3060,3160,2,300
3060,5746,2,300
3063,3060,2,300
3063,3120,2,308
3063,3159,2,308
3063,3160,2,300
3063,5746,2,300
3075,628,2,300
3075,2821,2,311
3075,4538,2,327
3075,5445,2,300
3080,3895,2,300
3080,4548,2,300
3080,4550,2,300
3080,4696,2,300
3080,4964,2,300
3080,5857,2,300
3081,4550,2,300
3081,4551,2,300
3081,5951,2,300
3082,4553,2,300
3082,4554,2,300
3083,5325,2,300
3083,6433,2,300
3087,3088,2,300
3087,5323,2,300
3088,3087,2,300
3089,5321,2,300
3090,3091,2,300
3090,5320,2,300
3091,3090,2,300
3091,5320,2,300
3100,2641,2,302
3100,3116,2,300
3100,4393,2,300
3102,3114,2,300
3103,3113,2,300
3105,740,2,314
3105,742,2,427
3105,755,2,397
3105,3110,2,300
3105,4224,2,300
3105,4227,2,365
3106,3109,2,300
3106,4223,2,300
3107,2339,2,300
3107,5753,2,300
3109,3106,2,300
3109,4223,2,300
3110,740,2,300
3110,742,2,309
3110,755,2,300
3110,3105,2,300
3110,4224,2,300
3110,4225,2,300
3110,4226,2,300
3110,4227,2,300
3112,4225,2,300
3112,4226,2,300
3112,4278,2,300
3113,3103,2,300
3114,3102,2,300
3116,2623,2,322
3116,2641,2,300
3116,3100,2,300
3116,4393,2,300
3120,3063,2,308
3120,3159,2,300
3120,3160,2,331
3120,4570,2,300
3120,4574,2,300
3123,3033,2,300
3123,3125,2,300
3123,3798,2,300
3123,3839,2,300
3123,4734,2,300
3125,3033,2,300
3125,3123,2,300
3125,3798,2,300
3125,3839,2,300
3127,3155,2,312
3127,4727,2,423
3127,4728,2,300
3127,4729,2,380
3127,5680,2,752
3127,5681,2,747
3127,5682,2,300
3128,2578,2,468
3128,3129,2,372
3128,3152,2,326
3128,4727,2,300
3128,4729,2,662
3128,4781,2,677
3128,5682,2,300
3129,2578,2,301
3129,3128,2,372
3129,3152,2,300
3129,6254,2,313
3129,6255,2,318
3130,2530,2,300
3130,2581,2,300
3130,2821,2,873
3130,3150,2,300
3130,5445,2,938
3134,3135,2,300
3134,3145,2,300
3135,3134,2,300
3135,3136,2,300
3135,3145,2,300
3136,3135,2,300
3136,3144,2,300
3144,3136,2,300
3145,1141,2,396
3145,3134,2,300
3145,3135,2,300
3147,2585,2,300
3147,2821,2,300
3147,4539,2,300
3147,4540,2,300
3147,4725,2,300
3147,5445,2,354
3148,2583,2,300
3148,2821,2,300
3148,3149,2,300
3148,4539,2,300
3148,4540,2,300
3148,5445,2,312
3149,2582,2,300
3149,2583,2,300
3149,3148,2,300
3149,5445,2,491
3149,6258,2,300
3150,2530,2,300
3150,2581,2,300
3150,2582,2,300
3150,2821,2,700
3150,3130,2,300
3150,4781,2,928
3150,6258,2,373
3152,2578,2,300
3152,3128,2,326
3152,3129,2,300
3152,6254,2,300
3152,6255,2,300
3155,3127,2,312
3155,4727,2,675
3155,4728,2,300
3155,4729,2,308
3155,5682,2,378
3159,3063,2,308
3159,3120,2,300
3159,3160,2,332
3159,4570,2,300
3159,4574,2,300
3160,3060,2,300
3160,3063,2,300
3160,3120,2,331
3160,3159,2,332
3160,5746,2,300
3169,550,2,300
3169,556,2,300
3169,3170,2,300
3169,4381,2,300
3169,4382,2,328
3169,5872,2,300
3170,3169,2,300
3170,3234,2,300
3170,4398,2,300
3172,1540,2,300
3172,1683,2,300
3172,1685,2,300
3172,2640,2,300
3172,2917,2,300
3172,2918,2,300
3172,4396,2,300
3172,4397,2,300
3172,4398,2,300
3173,1686,2,300
3173,3230,2,300
3173,3231,2,300
3174,3229,2,300
3175,746,2,309
3175,750,2,300
3175,2681,2,300
3175,3228,2,300
3177,746,2,300
3177,750,2,300
3177,2681,2,300
3177,3228,2,300
3177,4424,2,300
3178,2344,2,329
3178,2680,2,300
3178,3226,2,300
3178,4428,2,300
3178,4429,2,300
3178,4430,2,344
3179,3180,2,300
3179,4437,2,300
3180,3179,2,300
3182,3221,2,300
3182,3223,2,300
3183,3220,2,300
3185,3186,2,300
3185,3216,2,300
3185,3217,2,300
3185,5594,2,300
3186,3185,2,300
3186,3216,2,300
3186,3217,2,300
3187,3214,2,300
3187,3215,2,300
3188,3213,2,300
3188,3214,2,300
3193,3887,2,300
3193,4442,2,439
3193,5491,2,300
3196,3197,2,300
3196,3206,2,300
3196,3207,2,300
3197,3196,2,300
3197,3206,2,300
3197,3207,2,300
3206,3196,2,300
3206,3197,2,300
3206,3207,2,300
3207,3196,2,300
3207,3197,2,300
3207,3206,2,300
3208,5055,2,300
3208,5898,2,300
3208,5899,2,300
3212,3213,2,300
3212,4441,2,300
3213,3188,2,300
3213,3212,2,300
3213,3214,2,300
3213,4441,2,300
3214,3187,2,300
3214,3188,2,300
3214,3213,2,300
3214,3215,2,300
3215,3187,2,300
3215,3214,2,300
3216,3185,2,300
3216,3186,2,300
3216,3217,2,300
3217,3185,2,300
3217,3186,2,300
3217,3216,2,300
3217,4435,2,300
3217,5594,2,300
3220,3183,2,300
3221,3182,2,300
3223,3182,2,300
3224,4436,2,300
3226,2344,2,300
3226,2360,2,300
3226,2679,2,558
3226,2680,2,300
3226,3178,2,300
3226,4428,2,300
3226,4429,2,300
3226,4430,2,300
3228,746,2,300
3228,750,2,300
3228,2681,2,300
3228,3175,2,300
3228,3177,2,300
3228,4424,2,300
3229,3174,2,300
3230,1686,2,300
3230,3173,2,300
3230,3231,2,300
3231,1685,2,300
3231,1686,2,300
3231,3173,2,300
3231,3230,2,300
3234,1540,2,314
3234,2640,2,312
3234,2918,2,300
3234,3170,2,300
3234,4397,2,343
3234,4398,2,300
